City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,RoadWidth,RoadType
20,12000000,2,1,1.5,1,7,2076.0,3800,13.0,3
20,65000,4,3,,1,0,,696,0.0,6
20,12500000,2,1,1.5,1,0,2076.0,2600,13.0,3
17,19000000,8,4,3.0,1,1,2073.0,6100,10.0,3
20,11500000,2,1,1.5,1,4,2076.0,902,13.0,3
7,400000,0,0,,0,4,,250,26.0,1
7,80000,6,3,3.0,10,4,2019.0,456,26.0,1
19,16000,2,1,3.0,1,2,2019.0,271,13.0,5
20,60000,3,2,,1,0,2015.0,587,24.0,1
20,15000000,2,1,1.5,1,2,2076.0,5200,16.0,1
20,11000000,2,1,1.5,1,0,2076.0,2100,13.0,3
3,1500000,0,0,,0,1,,542,12.0,6
20,50000,4,4,,1,0,2019.0,404,12.0,4
22,20000000,4,4,2.0,4,0,2019.0,502,14.0,4
20,400000,0,5,5.0,3,1,2001.0,589,3.28084,3
17,7500000,0,0,,0,0,,300,15.0,1
17,4500000,0,0,,0,0,,498,16.0,1
17,4600000,0,0,,0,0,,134,13.0,1
17,23000000,5,5,3.0,1,7,2073.0,199,13.0,3
17,60000000,7,4,4.0,4,0,2076.0,448,14.0,1
17,60000000,5,6,4.0,4,0,2076.0,254,13.0,4
17,25500000,7,4,3.0,1,0,,306,14.0,1
17,55000000,5,4,2.0,2,5,,295,14.0,1
20,22200000,4,5,,1,6,2019.0,227,0.0,6
17,24000000,5,3,2.0,1,0,2076.0,237,13.0,1
17,55000000,5,6,3.0,2,4,2073.0,138,14.0,1
17,25500000,7,6,4.0,1,6,2075.0,122,14.0,1
17,2700000,0,0,,0,0,,498,15.0,3
17,27500000,6,3,2.0,1,0,2076.0,654,15.0,1
17,2650000,0,0,,0,0,,433,20.0,5
17,63000000,5,4,2.0,2,0,,534,16.0,1
17,3500000,0,0,,0,7,,452,14.0,1
17,60000000,5,5,2.0,0,0,2075.0,581,20.0,1
17,34500000,6,4,3.0,2,0,2076.0,459,30.0,1
17,39500000,3,3,2.0,2,0,,1200,15.0,1
